City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.25,overcast clouds,-23.1203,-134.9692,Pension Maro'i
13,Oussouye,SN,75.07,few clouds,12.485,-16.5469,Auberge du Routard
20,San Policarpo,PH,83.64,overcast clouds,12.1791,125.5072,JM Lodge
21,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Butaritari,KI,83.59,light rain,3.0707,172.7902,Isles Sunset Lodge
23,Maracanau,BR,82.06,clear sky,-3.8767,-38.6256,Paiva de Sousa Motel
24,Bozdar,PK,86.07,clear sky,27.1828,68.63600000000001,Hadi Hassan Shah Stop
28,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
30,Dezful,IR,81.73,clear sky,32.3811,48.4058,سالن پیرایش امید
36,Bengkulu,ID,81.91,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
39,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
40,Hede,CN,76.91,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
45,Atuona,PF,79.61,light rain,-9.8,-139.0333,Villa Enata
49,Port Blair,IN,82.99,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
51,Xinzhi,CN,76.12,clear sky,36.4989,111.7047,Mingyue Hotel
52,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
54,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
63,Beberibe,BR,82.44,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
66,Nichlaul,IN,76.95,overcast clouds,27.3167,83.7333,Karan Manes Parler
69,Abeche,TD,81.45,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
71,Beinamar,TD,77.04,broken clouds,8.6698,15.3813,
74,Eyl,SO,78.33,scattered clouds,7.9803,49.8164,Amiin Hotel
77,Da Nang,VN,87.78,scattered clouds,16.0678,108.2208,Sun River Hotel
80,Hithadhoo,MV,84.16,broken clouds,-0.6,73.0833,Scoop Guest House
84,Kismayo,SO,77.11,few clouds,-0.3582,42.5454,Agan-Hotel
88,Callaguip,PH,86.16,scattered clouds,18.0714,120.4867,Pangil Beach Resort
95,Acarau,BR,79.0,broken clouds,-2.8856,-40.12,castelo pizzaria
101,Pemangkat,ID,81.16,broken clouds,1.1667,108.9667,Ramah Kost KITA
104,Micheweni,TZ,76.14,light rain,-4.9667,39.8333,
111,Honiara,SB,85.12,scattered clouds,-9.4333,159.95,Heritage Park Hotel
118,Naze,JP,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
